Kraj,Trida,Sesk,Podsesk,Pol,Para,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2024 VKT
Hlavní město Praha,Běžné výdaje,50,501,5019,6114,0.0,0.0,170226.13,0.0,48404.7,0.0,265198.45,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,6115,0.0,104487.51,0.0,487974.64,0.0,112702.17,0.0,414791.76,680.0,0.0,0.0,221427.91
Hlavní město Praha,Běžné výdaje,50,501,5019,6117,0.0,0.0,0.0,0.0,282135.61,0.0,0.0,0.0,0.0,51081.99999999997,0.0,251343.1
Hlavní město Praha,Běžné výdaje,50,501,5019,6118,0.0,0.0,0.0,615242.5,0.0,0.0,0.0,0.0,632659.99,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,6171,109248.0,107398.0,163655.03,155315.0,77559.0,125461.2,106388.0,114268.0,154502.6,148908.76,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,6221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10432.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,6409,45750.0,19050.0,23250.0,24000.0,138286.0,36000.0,41450.0,51550.0,5080.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2141,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,231450.0,30000.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2212,230615.0,207318.0,166322.0,311918.0,656525.0,724574.0,180435.0,241811.0,258276.0,1074001.47,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2219,6036413.0,3118998.0,2970216.0,1827717.0,1899493.0,1501220.0,2197622.0,2093247.0,2226606.0,1944520.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2291,0.0,0.0,0.0,0.0,192560.0,535650.0,587650.0,260100.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2341,62900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514155.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41704.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2510,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,2590,0.0,145320.0,346222.0,133712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3111,73620.0,140180.0,232419.0,77980.0,85020.0,19429.0,23045.0,81650.0,54200.0,24000.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3113,214014.0,350324.0,2996160.0,2390535.0,2515510.0,4760326.0,4944915.0,3227052.0,2353692.88,265887.3999999999,0.0,1722000.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3117,0.0,139339.0,271360.0,212090.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3119,88906.0,797875.0,4590118.0,4708000.0,6656914.77,5682760.4,5947365.0,6460568.0,4786959.0,330950.07000000007,0.0,1386134.52
Hlavní město Praha,Běžné výdaje,50,502,5021,3149,9600.0,18000.0,20000.0,97200.0,13200.0,0.0,0.0,2225355.5,1307842.0,121500.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3291,0.0,0.0,0.0,0.0,0.0,181966.0,658601.0,512311.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3292,0.0,197048.3,793648.56,695855.22,207650.0,211300.0,0.0,312200.0,166000.0,0.0,0.0,286000.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3299,0.0,2048756.0,5596366.0,3858932.51,7381893.0,8138883.0,9350947.0,9448057.05,8717013.21,479480.0499999998,0.0,4548119.95
Hlavní město Praha,Běžné výdaje,50,502,5021,3313,0.0,0.0,4821.0,4000.0,6000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3314,1208161.0,1226264.0,1124043.0,1219292.5,1352189.0,1232869.0,1333528.0,1439397.0,1677290.0,1933185.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3317,261090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3319,938943.0,1048491.0,1102167.0,1229250.0,786165.0,591357.0,361909.0,395794.0,1475715.0,532654.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3322,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,39120.0,38641.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3326,0.0,189500.0,0.0,5792.0,0.0,4963.0,98.0,22100.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3329,0.0,0.0,75000.0,127000.0,149000.0,48300.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3349,672879.0,903055.0,701680.0,715432.0,497363.0,782751.0,791158.0,742958.0,874369.0,812337.0,0.0,19950.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3391,14000.0,54000.0,26000.0,39000.0,44000.0,0.0,26000.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3392,0.0,0.0,0.0,0.0,0.0,0.0,26080.0,197645.0,172115.0,248174.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3399,465267.0,612314.0,739410.0,1124906.0,950771.0,547276.0,911911.0,933440.0,981469.0,441462.0,0.0,677245.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3412,0.0,21960.0,82110.0,79614.0,161423.0,259810.0,279800.0,273665.0,391446.0,377038.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3419,31100.0,92497.0,302148.0,300776.0,23600.0,13000.0,344620.0,271200.0,301700.0,0.0,0.0,0.0
